Occupation_Title	Occupation_Code		Year	Median Annual Salary	Bottom 10%	Top 10%	Estimated Employment	Projected Growth (2016-2026)	Projected Job Openings (2016-2026)**	Top Industries																		
"Architecture Teachers, Postsecondary"	25-1031		2005	"$62,270 "	"$35,620 "	"$97,120 "	"6,110"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$64,620 "	"$37,670 "	"$101,700 "	"5,820"																					
			2007	"$68,540 "	"$41,080 "	"$107,030 "	"6,070"																					
			2008	"$71,710 "	"$38,310 "	"$117,540 "	"6,430"																					
			2009	"$73,550 "	"$39,670 "	"$121,720 "	"7,090"																					
			2010	"$73,500 "	"$41,780 "	"$125,690 "	"7,620"																					
			2011	"$73,070 "	"$44,700 "	"$125,750 "	"7,060"	10%-19%	"586,100"																			
			2012	"$71,610 "	"$41,960 "	"$123,830 "	"7,290"																					
			2013	"$72,550 "	"$39,360 "	"$131,940 "	"7,340"	8%-14%	"2,700"																			
			2014	"$73,720 "	"$38,190 "	"$142,050 "	"7,190"																					
			2015	"$73,920 "	"$38,360 "	"$144,380 "	"7,340"	9%-13%	"2,500"																			
			2016	"$79,250 "	"$42,120 "	"$160,220 "	"7,370"			Educational Services																		
																												
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"	25-1062		2005	"$55,610 "	"$33,250 "	"$101,570 "	"7,970"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$56,380 "	"$31,770 "	"$106,080 "	"7,350"																					
			2007	"$59,150 "	"$32,940 "	"$114,840 "	"7,280"																					
			2008	"$61,490 "	"$33,420 "	"$120,720 "	"7,570"																					
			2009	"$65,030 "	"$37,490 "	"$125,520 "	"8,070"																					
			2010	"$68,020 "	"$35,990 "	"$131,500 "	"8,980"																					
			2011	"$69,130 "	"$33,730 "	"$141,970 "	"9,250"	10%-19%	"586,100"																			
			2012	"$67,360 "	"$32,720 "	"$139,140 "	"9,710"																					
			2013	"$66,770 "	"$32,930 "	"$136,560 "	"9,700"	15%-21%	"3,800"																			
			2014	"$68,950 "	"$36,990 "	"$130,580 "	"9,150"																					
			2015	"$72,300 "	"$37,830 "	"$139,970 "	"9,240"	14% +	"3,800"																			
			2016	"$73,020 "	"$38,950 "	"$148,640 "	"9,060"			Educational Services																		
																												
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"	25-1051		2005	"$65,720 "	"$35,240 "	"$115,270 "	"8,810"	14% -19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$69,300 "	"$37,330 "	"$121,500 "	"8,670"																					
			2007	"$73,280 "	"$39,840 "	"$128,280 "	"9,030"																					
			2008	"$76,050 "	"$41,910 "	"$130,820 "	"9,650"																					
			2009	"$78,660 "	"$43,350 "	"$133,080 "	"9,900"																					
			2010	"$82,840 "	"$43,980 "	"$148,970 "	"10,680"																					
			2011	"$83,140 "	"$42,590 "	"$152,270 "	"10,660"	10%-19%	"586,100"																			
			2012	"$82,180 "	"$42,090 "	"$156,250 "	"10,930"																					
			2013	"$81,640 "	"$42,380 "	"$149,190 "	"10,690"	8%-14%	"3,500"																			
			2014	"$81,780 "	"$41,680 "	"$149,920 "	"10,890"																					
			2015	"$83,150 "	"$42,850 "	"$152,310 "	"10,890"	9%-13%	"3,500"																			
			2016	"$85,410 "	"$43,950 "	"$161,220 "	"10,950"			Educational Services																		
																												
"Elementary School Teachers, Except Special Education"	25-2021		2005	"$44,040 "	"$29,360 "	"$70,000 "	"1,486,650"	14% - 19%	"596,500"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$45,570 "	"$30,370 "	"$72,720 "	"1,509,180"																					
			2007	"$47,330 "	"$31,480 "	"$74,670 "	"1,538,030"																					
			2008	"$49,330 "	"$33,400 "	"$78,030 "	"1,544,270"																					
			2009	"$50,510 "	"$33,830 "	"$78,720 "	"1,544,300"																					
			2010	"$51,660 "	"$34,390 "	"$80,140 "	"1,485,600"																					
			2011	"$52,840 "	"$34,910 "	"$81,230 "	"1,415,590"	10%-19%	"573,200"																			
			2012	"$53,400 "	"$35,630 "	"$83,160 "	"1,360,380"																					
			2013	"$53,590 "	"$35,760 "	"$83,600 "	"1,344,240"	8%-14%	"467,400"																			
			2014	"$54,120 "	"$36,040 "	"$83,910 "	"1,353,020"																					
			2015	"$54,890 "	"$36,190 "	"$85,550 "	"1,381,430"	5%-8%	"387,700"																			
			2016	"$55,800 "	"$36,560 "	"$88,590 "	"1,392,660"			Educational Services 																		
																												
"Engineering Teachers, Postsecondary"	25-1032		2005	"$74,540 "	"$39,690 "	"$124,600 "	"34,500"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$76,670 "	"$41,880 "	"$129,610 "	"31,950"																					
			2007	"$79,510 "	"$43,090 "	"$133,920 "	"32,360"																					
			2008	"$82,810 "	"$45,150 "	"$142,670 "	"32,070"																					
			2009	"$85,830 "	"$45,980 "	"$147,220 "	"34,270"																					
			2010	"$89,670 "	"$45,760 "	"$153,840 "	"34,400"																					
			2011	"$90,680 "	"$47,410 "	"$153,030 "	"33,660"	10%-19%	"586,100"																			
			2012	"$92,670 "	"$50,770 "	"$159,170 "	"33,970"																					
			2013	"$94,460 "	"$51,180 "	"$166,090 "	"34,870"	8%-14%	"11,400"																			
			2014	"$94,130 "	"$48,120 "	"$165,660 "	"36,650"																					
			2015	"$95,060 "	"$46,460 "	"$171,330 "	"37,270"	9%-13%	"14,200"																			
			2016	"$97,530 "	"$49,090 "	"$176,560 "	"38,000"			Educational Services 																		
																												
"Environmental Science Teachers, Postsecondary"	25-1053		2005	"$60,880 "	"$31,410 "	"$110,360 "	"4,340"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$64,780 "	"$32,890 "	"$119,260 "	"4,310"																					
			2007	"$64,850 "	"$35,120 "	"$125,530 "	"4,470"																					
			2008	"$65,130 "	"$31,550 "	"$126,010 "	"4,870"																					
			2009	"$65,540 "	"$33,790 "	"$124,050 "	"4,820"																					
			2010	"$71,020 "	"$36,680 "	"$131,080 "	"5,090"																					
			2011	"$75,050 "	"$42,560 "	"$140,870 "	"4,990"	10%-19%	"586,100"																			
			2012	"$77,320 "	"$41,420 "	"$145,130 "	"4,990"																					
			2013	"$75,490 "	"$41,750 "	"$145,370 "	"5,130"	8%-14%	"1,800"																			
			2014	"$77,470 "	"$42,120 "	"$144,110 "	"5,300"																					
			2015	"$78,770 "	"$44,830 "	"$146,530 "	"5,540"	9%-13%	"1,800"																			
			2016	"$78,340 "	"$44,180 "	"$150,890 "	"5,520"			Educational Services 																		
																												
"Forestry and Conservation  Science Teachers, Postsecondary"	25-1043		2005	"$64,870 "	"$38,900 "	"$105,210 "	"2,990"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$64,430 "	"$36,290 "	"$102,630 "	"2,630"																					
			2007	"$63,790 "	"$36,270 "	"$104,110 "	"2,640"																					
			2008	"$62,140 "	"$36,980 "	"$107,200 "	"2,450"																					
			2009	"$66,930 "	"$39,370 "	"$114,900 "	"2,380"																					
			2010	"$78,290 "	"$43,430 "	"$128,410 "	"2,410"																					
			2011	"$80,330 "	"$42,950 "	"$130,040 "	"2,520"	10%-19%	"586,100"																			
			2012	"$81,930 "	"$41,920 "	"$123,200 "	"2,490"																					
			2013	"$81,630 "	"$40,720 "	"$128,080 "	"2,140"	8%-14%	800																			
			2014	"$84,090 "	"$40,830 "	"$132,070 "	"1,850"																					
			2015	"$88,270 "	"$45,960 "	"$143,710 "	"1,660"	5%-8%	600																			
			2016	"$85,880 "	"$47,390 "	"$144,820 "	"1,750"			Educational Services 																		
																												
Geographers	19-3092		2005	"$63,550 "	"$39,040 "	"$92,290 "	810	20%	"1,000"	"Government (63%), Professional, Scientific, and Technical Services (18%), Other Industries (19%)"																		
			2006	"$62,990 "	"$37,530 "	"$93,930 "	960																					
			2007	"$65,690 "	"$40,330 "	"$97,120 "	"1,010"																					
			2008	"$66,600 "	"$38,780 "	"$97,540 "	"1,120"																					
			2009	"$71,470 "	"$41,930 "	"$99,540 "	"1,170"																					
			2010	"$72,800 "	"$42,450 "	"$102,440 "	"1,300"																					
			2011	"$74,760 "	"$43,140 "	"$104,000 "	"1,430"	29% or higher	"1,300"																			
			2012	"$74,760 "	"$41,910 "	"$103,870 "	"1,510"																					
			2013	"$74,750 "	"$42,940 "	"$105,070 "	"1,480"	22% or higher	800																			
			2014	"$76,420 "	"$43,480 "	"$104,670 "	"1,260"																					
			2015	"$74,260 "	"$45,450 "	"$102,930 "	"1,280"	-2%	200																			
			2016	"$74,260 "	"$44,680 "	"$101,370 "	"1,370"			"Government, Scientific, and Technical Services"																		
																												
"Geography Teachers, Postsecondary"	25-1064		2005	"$57,870 "	"$34,950 "	"$94,800 "	"4,250"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$59,000 "	"$34,300 "	"$98,200 "	"4,070"																					
			2007	"$61,310 "	"$36,070 "	"$103,900 "	"4,050"																					
			2008	"$62,880 "	"$36,250 "	"$107,690 "	"4,030"																					
			2009	"$65,420 "	"$39,030 "	"$109,080 "	"3,930"																					
			2010	"$66,700 "	"$38,660 "	"$113,470 "	"4,250"																					
			2011	"$68,510 "	"$40,110 "	"$113,600 "	"4,280"	10%-19%	"586,100"																			
			2012	"$67,820 "	"$36,950 "	"$115,230 "	"4,460"																					
			2013	"$70,500 "	"$37,600 "	"$117,220 "	"4,400"	8%-14%	"1,400"																			
			2014	"$71,320 "	"$37,130 "	"$118,430 "	"4,400"																					
			2015	"$75,400 "	"$41,250 "	"$124,190 "	"4,350"	5%-8%	"1,400"																			
			2016	"$76,810 "	"$42,120 "	"$134,010 "	"4,140"			Educational Services 																		
																												
Graduate Teaching Assistants	25-1191		2005	"$27,340 "	"$14,450 "	"$45,420 "	"117,970"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$27,840 "	"$15,830 "	"$46,770 "	"112,830"																					
			2007	"$28,060 "	"$15,660 "	"$47,300 "	"119,790"																					
			2008	"$29,850 "	"$16,140 "	"$49,730 "	"124,380"																					
			2009	"$31,540 "	"$16,560 "	"$50,220 "	"122,120"																					
			2010	"$32,750 "	"$17,430 "	"$54,020 "	"107,790"																					
			2011	"$31,230 "	"$17,330 "	"$55,410 "	"110,130"	10%-19%	"586,100"																			
			2012	"$31,270 "	"$17,490 "	"$54,480 "	"120,160"																					
			2013	"$29,950 "	"$17,730 "	"$49,350 "	"118,820"	8%-14%	"38,000"																			
			2014	"$31,570 "	"$18,250 "	"$49,240 "	"126,030"																					
			2015	"$30,810 "	"$50,220 "	"$17,800 "	"125,100"	5%-8%	"38,800"																			
			2016	"$34,240 "	"$18,340 "	"$55,080 "	"135,130"			Educational Services  																		
																												
Historians	19-3093		2005	"$44,400 "	"$24,340 "	"$83,960 "	"2,850"	7% - 13%	"2,500"	"Government (25%), Professional, Scientific, and Technical Services (21%), Other Industries (54%)"																		
			2006	"$48,520 "	"$23,450 "	"$89,940 "	"3,090"																					
			2007	"$50,790 "	"$24,560 "	"$93,930 "	"3,600"																					
			2008	"$54,530 "	"$25,670 "	"$96,530 "	"3,700"																					
			2009	"$51,050 "	"$25,850 "	"$95,750 "	"3,620"																					
			2010	"$53,520 "	"$26,370 "	"$95,690 "	"3,320"																					
			2011	"$52,370 "	"$26,840 "	"$97,020 "	"3,190"	10%-19%	"2,400"																			
			2012	"$52,480 "	"$27,020 "	"$97,930 "	"3,340"																					
			2013	"$55,180 "	"$27,040 "	"$98,700 "	"3,200"	3%-7%	800																			
			2014	"$55,870 "	"$27,550 "	"$101,640 "	"3,220"																					
			2015	"$55,800 "	"$27,920 "	"$101,880 "	"3,010"	2%-4%	500																			
			2016	"$55,110 "	"$28,050 "	"$102,830 "	"2,950"			"Government, Professional, Scientific, and Technical Services"																		
																												
"History Teachers, Postsecondary"	25-1125		2005	"$54,780 "	"$31,370 "	"$93,920 "	"20,520"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$57,390 "	"$32,150 "	"$101,530 "	"20,980"																					
			2007	"$59,160 "	"$33,540 "	"$105,090 "	"20,760"																					
			2008	"$62,000 "	"$34,230 "	"$111,100 "	"21,020"																					
			2009	"$63,490 "	"$35,510 "	"$110,570 "	"21,810"																					
			2010	"$64,880 "	"$33,510 "	"$116,440 "	"23,240"																					
			2011	"$65,860 "	"$33,560 "	"$118,840 "	"23,470"	10%-19%	"586,100"																			
			2012	"$65,870 "	"$33,620 "	"$121,340 "	"23,590"																					
			2013	"$66,790 "	"$36,350 "	"$121,740 "	"23,640"	8%-14%	"8,300"																			
			2014	"$66,840 "	"$35,530 "	"$121,100 "	"23,640"																					
			2015	"$69,400 "	"$36,730 "	"$125,620 "	"23,680"	9%-13%	"8,100"																			
			2016	"$71,820 "	"$38,000 "	"$130,530 "	"21,800"			Educational Services 																		
																												
"Middle School Teachers, Except Special and Career/Technical Education"	25-2022		2005	"$44,640 "	"$30,390 "	"$70,910 "	"637,340"	14% - 19%	"251,100"	"Educational Services (99%), Other Industries (1%)"																		
			2006	"$46,300 "	"$31,450 "	"$73,350 "	"652,700"																					
			2007	"$47,900 "	"$32,630 "	"$75,010 "	"652,560"																					
			2008	"$49,700 "	"$34,020 "	"$78,120 "	"661,820"																					
			2009	"$50,770 "	"$34,360 "	"$79,200 "	"665,420"																					
			2010	"$51,960 "	"$34,990 "	"$80,940 "	"655,090"																					
			2011	"$53,130 "	"$35,760 "	"$81,620 "	"642,820"	10%-19%	"249,300"																			
			2012	"$53,430 "	"$36,740 "	"$82,190 "	"620,900"																					
			2013	"$53,940 "	"$37,050 "	"$82,770 "	"621,970"	8%-14%	"211,200"																			
			2014	"$54,940 "	"$37,390 "	"$84,610 "	"630,620"																					
			2015	"$55,869 "	"$37,350 "	"$87,060 "	"632,760"	5%-8%	"175,500"																			
			2016	"$56,720 "	"$37,810 "	"$89,120 "	"626,310"			Educational Services 																		
																												
"Political Science Teachers, Postsecondary"	25-1065		2005	"$59,850 "	"$35,260 "	"$106,000 "	"13,710"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$61,820 "	"$35,730 "	"$113,480 "	"13,850"																					
			2007	"$63,100 "	"$35,600 "	"$116,010 "	"14,160"																					
			2008	"$67,200 "	"$36,910 "	"$127,460 "	"14,340"																					
			2009	"$68,790 "	"$37,230 "	"$128,790 "	"15,180"																					
			2010	"$70,540 "	"$36,040 "	"$132,180 "	"15,930"																					
			2011	"$71,470 "	"$36,420 "	"$138,140 "	"17,260"	10%-19%	"586,100"																			
			2012	"$72,170 "	"$37,180 "	"$138,550 "	"16,770"																					
			2013	"$73,760 "	"$38,020 "	"$143,220 "	"17,660"	15%-21%	"6,200"																			
			2014	"$73,790 "	"$37,960 "	"$139,640 "	"17,050"																					
			2015	"$76,370 "	"$40,150 "	"$151,940 "																						
			2016	"$79,210 "	"$42,220 "	"$164,830 "	"16,720"	9% - 13%	"5,900"	Educational Services 																		
																												
Political Scientists	19-3094		2005	"$84,100 "	"$39,890 "	"$132,600 "	"5,010"	14% - 19%	"2,800"	"Government (68%), Professional, Scientific, and Technical Services (12%), Other Industries (20%)"																		
			2006	"$90,140 "	"$36,730 "	"$133,120 "	"3,970"																					
			2007	"$91,580 "	"$37,960 "	"$142,040 "	"3,940"																					
			2008	"$104,130 "	"$47,220 "	"$146,880 "	"3,530"																					
			2009	"$104,090 "	"$46,520 "	"$151,360 "	"3,970"																					
			2010	"$107,420 "	"$48,720 "	"$155,490 "	"4,470"																					
			2011	"$103,860 "	"$47,420 "	"$155,490 "	"5,340"	3%-9%	"2,800"																			
			2012	"$102,000 "	"$49,290 "	"$155,490 "	"5,750"																					
			2013	"$100,920 "	"$50,520 "	"$148,510 "	"5,570"	15%-21%	"2,500"																			
			2014	"$104,920 "	"$52,150 "	"$153,960 "	"5,640"																					
			2015	"$99,730 "	"$47,210 "	"$162,500 "	"3,910"	-2%	700																			
			2016	"$114,290 "	"$57,750 "	"$160,290 "	"6,350"			"Government, Professional, Scientific, and Technical Services"																		
																												
"Secondary School Teachers, Except Special and Career/Technical Education"	25-2031		2005	"$46,060 "	"$30,530 "	"$73,330 "	"1,015,740"	7% - 13%	"412,400"	"Educational Services (99%), Other Industries (1%)"																		
			2006	"$47,740 "	"$31,760 "	"$76,100 "	"1,030,780"																					
			2007	"$49,420 "	"$32,920 "	"$78,100 "	"1,058,870"																					
			2008	"$51,180 "	"$34,280 "	"$80,970 "	"1,090,490"																					
			2009	"$52,200 "	"$34,600 "	"$82,000 "	"1,091,710"																					
			2010	"$53,230 "	"$35,020 "	"$83,230 "	"1,053,140"																					
			2011	"$54,270 "	"$35,940 "	"$84,000 "	"1,004,850"	3%-9%	"355,600"																			
			2012	"$55,050 "	"$36,930 "	"$85,690 "	"959,770"																					
			2013	"$55,360 "	"$37,230 "	"$86,720 "	"946,730"	3%-7%	"312,600"																			
			2014	"$56,310 "	"$37,540 "	"$88,910 "	"960,380"																					
			2015	"$57,200 "	"$37,800 "	"$91,190 "	"962,820"	5%-8%	"284,00"																			
			2016	"$58,030 "	"$38,180 "	"$92,920 "	"1,003,250"			Educational Services 																		
																												
"Sociology Teachers, Postsecondary"	25-1067		2005	"$54,320 "	"$30,260 "	"$93,310 "	"14,980"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$56,620 "	"$30,880 "	"$104,820 "	"16,110"																					
			2007	"$58,160 "	"$31,310 "	"$109,600 "	"16,130"																					
			2008	"$61,280 "	"$32,710 "	"$117,370 "	"16,440"																					
			2009	"$64,430 "	"$34,640 "	"$120,610 "	"16,380"																					
			2010	"$64,810 "	"$35,400 "	"$119,940 "	"17,430"																					
			2011	"$66,250 "	"$36,210 "	"$119,790 "	"17,250"	10%-19%	"586,100"																			
			2012	"$66,150 "	"$35,400 "	"$118,380 "	"16,880"																					
			2013	"$67,940 "	"$35,910 "	"$119,900 "	"17,200"	8%-14%	"5,700"																			
			2014	"$67,880 "	"$35,090 "	"$124,290 "	"16,900"																					
			2015	"$69,230 "	"$37,030 "	"$127,500 "	"16,160"	14%+	"6,800"																			
			2016	"$71,840 "	"$38,430 "	"$133,740 "	"14,580"			Educational Services 																		
																												
Teacher Assistants	25-9041		2005	"$20,090 "	"$13,380 "	"$30,530 "	"1,260,400"	7% - 13%	"412,700"	"Educational Services (83%), Health Care and Social Assistance (11%), Other Industries (6%)"																		
			2006	"$20,740 "	"$13,910 "	"$31,610 "	"1,246,030"																					
			2007	"$21,580 "	"$14,650 "	"$33,050 "	"1,251,610"																					
			2008	"$22,200 "	"$15,340 "	"$33,980 "	"1,266,900"																					
			2009	"$22,820 "	"$15,870 "	"$35,350 "	"1,275,410"																					
			2010	"$23,220 "	"$16,510 "	"$36,130 "	"1,249,380"																					
			2011	"$23,580 "	"$17,090 "	"$29,790 "	"1,214,090"	10%-19%	"481,600"																			
			2012	"$23,640 "	"$17,180 "	"$36,680 "	"1,185,700"																					
			2013	"$24,000 "	"$17,300 "	"$36,770 "	"1,190,720"	8%-14%	"382,600"																			
			2014	"$24,430 "	"$17,510 "	"$37,270 "	"1,192,590"																					
			2015	"$24,900 "	"$17,920 "	"$38,000 "	"1,228,440"	5%-8%	"374,500"																			
			2016	"$25,410 "	"$18,120 "	"$38,820 "	"1,263,820"			"Educational Services, Health Care and Social Assistance "																		
																												
Agricultural and Food Science Technicians	19-4011		2005	"$31,360 "	"$20,350 "	"$49,200 "	"19,340"	7% - 13%	"9,600"	"Educational Services (34%), Manufacturing (27%), Professional, Scientific, and Professional Services (14%), Other Industries (25%)"																		
			2006	"$31,730 "	"$20,850 "	"$49,270 "	"19,220"																					
			2007	"$33,630 "	"$21,810 "	"$51,510 "	"19,280"																					
			2008	"$33,990 "	"$22,190 "	"$53,880 "	"18,930"																					
			2009	"$34,410 "	"$22,100 "	"$55,190 "	"18,490"																					
			2010	"$32,760 "	"$21,730 "	"$52,600 "	"16,890"																					
			2011	"$33,550 "	"$22,420 "	"$54,020 "	"17,150"	3%-9%	"8,700"																			
			2012	"$34,070 "	"$22,410 "	"$53,460 "	"18,280"																					
			2013	"$34,790 "	"$22,860 "	"$53,680 "	"19,390"	3%-7%	"10,100"																			
			2014	"$35,140 "	"$22,380 "	"$55,170 "	"20,640"																					
			2015	"$36,480 "	"$23,450 "	"$58,270 "	"20,260"	5%-8%	"14,400"																			
			2016	"$37,550 "	"$23,930 "	"$61,450 "	"20,420"		"12,400"	"Agriculture, Forestry, Fishing, and Hunting Manufacturing"																		
																												
Agricultural Engineers	17-2021		2005	"$64,890 "	"$41,160 "	"$92,750 "	"3,170"	7% - 13%	900	"Manufacturing (40%), Government (24%), Professional, Scientific, and Technical Services (22%), Other Industries (14%)"																		
			2006	"$66,030 "	"$42,390 "	"$96,270 "	"3,050"																					
			2007	"$67,710 "	"$45,020 "	"$101,340 "	"2,480"																					
			2008	"$68,730 "	"$43,150 "	"$108,470 "	"2,640"																					
			2009	"$69,560 "	"$42,980 "	"$116,240 "	"2,620"																					
			2010	"$71,090 "	"$42,210 "	"$115,150 "	"2,520"																					
			2011	"$74,630 "	"$44,180 "	"$118,330 "	"2,650"	3%-9%	800																			
			2012	"$74,000 "	"$44,750 "	"$115,680 "	"2,470"																					
			2013	"$74,450 "	"$48,370 "	"$116,040 "	"2,590"	3%-7%	800																			
			2014	"$71,730 "	"$45,940 "	"$112,700 "	"2,450"																					
			2015	"$75,090 "	"$47,490 "	"$116,830 "	"2,330"	2%-4%	700																			
			2016	"$73,640 "	"$45,510 "	"$117,130 "	"1,980"			"Professional, Scientific, and Technical Services, Government"																		
																												
Air Traffic Controllers	53-2021		2005	"$107,590 "	"$60,340 "	"$143,060 "	"21,590"	7% - 13%	"12,300"	"Government (89%), Other Industries (11%)"																		
			2006	"$117,240 "	"$59,410 "	"$145,600*"	"23,240"																					
			2007	"$112,930 "	"$47,290 "	"$145,600*"	"24,180"																					
			2008	"$111,870 "	"$45,020 "	"$161,010 "	"24,260"																					
			2009	"$109,850 "	"$46,550 "	"$161,650 "	"24,420"																					
			2010	"$108,040 "	"$54,480 "	"$165,660 "	"23,970"																					
			2011	"$113,540 "	"$61,650 "	"$169,160 "	"23,580"	-3%- -9%	"10,200"																			
			2012	"$122,530 "	"$64,930 "	"$171,340 "	"23,260"																					
			2013	"$121,280 "	"$66,750 "	"$170,760 "	"23,060"	-2%-2%	"11,400"																			
			2014	"$122,340 "	"$67,070 "	"$172,000 "	"22,860"																					
			2015	"$122,950 "	"$66,780 "	"$172,590 "	"23,130"	-2%	"7,500"																			
			2016	"$122,410 "	"$66,390 "	"$172,680 "	"23,240"			Government																		
																												
Airfield Operations Specialists	53-2022		2005	"$37,330 "	"$19,680 "	"$71,750 "	"4,510"	7% - 13%	"3,800"	"Transportation and Warehousing (43%), Government (27%), Other Industries (30%)"																		
			2006	"$37,630 "	"$19,050 "	"$70,860 "	"4,760"																					
			2007	"$38,320 "	"$19,470 "	"$66,010 "	"6,210"																					
			2008	"$41,360 "	"$20,910 "	"$67,660 "	"8,050"																					
			2009	"$41,800 "	"$21,700 "	"$68,840 "	"7,670"																					
			2010	"$45,080 "	"$25,610 "	"$73,550 "	"6,790"																					
			2011	"$47,180 "	"$25,180 "	"$79,350 "	"6,060"	3%-9%	"3,200"																			
			2012	"$48,080 "	"$26,420 "	"$79,000 "	"6,990"																					
			2013	"$49,320 "	"$26,850 "	"$85,900 "	"7,250"	3%-7%	"3,500"																			
			2014	"$49,180 "	"$25,200 "	"$81,700 "	"7,050"																					
			2015	"$51,880 "	"$26,340 "	"$95,330 "	"7,920"	2%-4%	"2,500"																			
			2016	"$48,910 "	"$23,690 "	"$90,350 "	"8,760"			"Transportation and Warehousing, Government"																		
																												
"Architects, Except Landscape and Naval"	17-1011		2005	"$62,850 "	"$39,130 "	"$105,500 "	"96,740"	14% - 19%	"46,800"	"Professional, Scientific, and Technical Services (69%), Self Employed (21%), Other Industries (10%)"																		
			2006	"$64,150 "	"$39,420 "	"$104,970 "	"101,010"																					
			2007	"$67,620 "	"$40,250 "	"$112,990 "	"106,830"																					
			2008	"$70,320 "	"$41,320 "	"$119,220 "	"110,990"																					
			2009	"$72,700 "	"$42,320 "	"$122,640 "	"101,630"																					
			2010	"$72,550 "	"$42,860 "	"$119,500 "	"87,700"																					
			2011	"$73,340 "	"$44,030 "	"$119,410 "	"83,590"	20%-28%	"50,900"																			
			2012	"$73,090 "	"$44,600 "	"$118,230 "	"82,720"																					
			2013	"$74,110 "	"$44,930 "	"$119,370 "	"84,210"	15%-21%	"44,100"																			
			2014	"$74,520 "	"$44,940 "	"$121,910 "	"88,900"																					
			2015	"$76,100 "	"$46,080 "	"$125,520 "	"93,720"	5%-8%	"26,300"																			
			2016	"$76,930 "	"$46,600 "	"$129,810 "	"99,860"			"Professional, Scientific, and Technical Services, Self-Employed"																		
																												
Architectural and Civil Drafters	17-3011		2005	"$40,390 "	"$26,140 "	"$59,590 "	"101,040"	7% - 13%	"36,200"	"Professional, Scientific, and Technical Services (80%), Other Industries (20%)"																		
			2006	"$41,960 "	"$27,010 "	"$63,310 "	"107,110"																					
			2007	"$43,310 "	"$27,680 "	"$65,050 "	"111,460"																					
